,taxid,count_star()
1584,374858,1
1585,396268,1466
1586,1214928,2529
1587,212663,4942
1588,45067,2630
1589,29423,2907
1590,66219,3891
1591,56454,4875
1592,55404,5796
1593,67581,7865
1594,501024,6819
1595,104270,18
1596,112900,5767
1597,992286,3085
1598,256821,1
1599,266130,3111
1600,61592,2823
1601,1549855,2130
1602,415721,4
1603,425511,4663
1604,317577,3884
1605,57487,2094
1606,1179,7694
1607,1280,2889
1608,674,3983
1609,163603,7193
1610,28894,6361
1611,1529066,2848
1612,579748,3604
1613,65700,3807
1614,877500,2919
1615,1157490,4452
1616,1276757,4665
1617,252970,6700
1618,1408545,4065
1619,33051,4149
1620,114886,3
1621,145263,1756
1622,48935,3917
1623,103731,8423
1624,290,4
1625,161889,2371
1626,29369,5
1627,1955250,4031
1628,889,3
1629,23,3900
1630,225324,6507
1631,363858,4
1632,435906,2934
1633,116085,2985
1634,365591,3911
1635,306540,2615
1636,540988,3616
1637,66888,6
1638,287609,6119
1639,47304,2310
1640,2320,1687
1641,645275,6614
1642,508460,1082
1643,701043,5370
1644,216939,9
1645,882451,2
1646,1229971,4
1647,84136,1541
1648,468528,4
1649,375061,2685
1650,77768,28
1651,857252,3452
1652,90733,3
1653,28088,3179
1654,328396,2342
1655,434347,6
1656,381852,3913
1657,999183,4
1658,92406,1
1659,68272,7105
1660,269421,2
1661,416568,3021
1662,859,2579
1663,436397,5
1664,284577,3429
1665,54767,3861
1666,1610,2599
1667,228603,2841
1668,51048,2095
1669,1119534,3381
1670,552386,18
1671,209897,7
1672,211146,4472
1673,1071052,1
1674,111802,1
1675,29375,1
1676,82788,1
1677,171283,1
1678,280240,3
1679,376171,2
1680,46679,5173
1681,453783,3530
1682,1245,1889
1683,1927,7494
1684,40318,5863
1685,68261,7
1686,33032,2252
1687,45497,3144
1688,2125,3
1689,1706840,8074
